"","address","spread1_vacant","spread2_vacant","spread3_vacant","spread4_vacant","spread5_vacant","spread1_permit","spread2_permit","spread3_permit","spread4_permit","spread5_permit","spread1_transfer","spread2_transfer","spread3_transfer","spread4_transfer","spread5_transfer","neighborhood","lat","lon","geometry"
"36","15106 DAHLIA DR",0.02,0.03,0.05,0.08,0.12,0.21,0.29,0.38,0.49,0.59,0.21,0.29,0.38,0.49,0.59,"Byberry","-74.9886432517723","40.1207435055405",c(-74.9886432517723, 40.1207435055405)
"37","15102 DAHLIA DR",0.02,0.03,0.05,0.08,0.12,0.21,0.29,0.39,0.49,0.59,0.21,0.29,0.39,0.49,0.59,"Byberry","-74.9889096844723","40.1205174170002",c(-74.9889096844723, 40.1205174170002)
"38","2684 FOXGLOVE LN",0.02,0.03,0.04,0.06,0.1,0.21,0.29,0.39,0.49,0.59,0.21,0.29,0.39,0.49,0.59,"Byberry","-74.9862510815268","40.1208547597697",c(-74.9862510815268, 40.1208547597697)
"39","15058 SUNFLOWER DR",0.03,0.04,0.06,0.1,0.14,0.15,0.22,0.29,0.39,0.49,0.15,0.22,0.29,0.39,0.49,"Byberry","-74.9887465243478","40.1191790265687",c(-74.9887465243478, 40.1191790265687)
"40","15064 SUNFLOWER DR",0.03,0.04,0.06,0.1,0.14,0.16,0.22,0.31,0.4,0.5,0.16,0.22,0.31,0.4,0.5,"Byberry","-74.9886712615321","40.1192531798425",c(-74.9886712615321, 40.1192531798425)
"41","15139 SUNFLOWER DR",0.03,0.04,0.06,0.09,0.14,0.16,0.23,0.31,0.41,0.51,0.16,0.23,0.31,0.41,0.51,"Byberry","-74.9853040963367","40.1210324590167",c(-74.9853040963367, 40.1210324590167)
"42","15002 DAHLIA DR",0.03,0.05,0.07,0.11,0.16,0.16,0.23,0.31,0.41,0.51,0.16,0.23,0.31,0.41,0.51,"Byberry","-74.9916247319112","40.1177950921189",c(-74.9916247319112, 40.1177950921189)
"43","13024 TOWNSEND RD",0.03,0.04,0.06,0.09,0.14,0.12,0.17,0.23,0.32,0.41,0.12,0.17,0.23,0.32,0.41,"Byberry","-74.9775305511484","40.1085863794751",c(-74.9775305511484, 40.1085863794751)
"44","15123 SUNFLOWER DR",0.02,0.03,0.04,0.06,0.1,0.2,0.28,0.37,0.47,0.57,0.2,0.28,0.37,0.47,0.57,"Byberry","-74.9859518198685","40.120586215278",c(-74.9859518198685, 40.120586215278)
"45","15124 WILDFLOWER WAY",0.02,0.03,0.04,0.06,0.1,0.2,0.28,0.37,0.47,0.57,0.2,0.28,0.37,0.47,0.57,"Byberry","-74.9857435335097","40.1204080331811",c(-74.9857435335097, 40.1204080331811)
"46","15129 WILDFLOWER WAY",0.02,0.03,0.04,0.06,0.1,0.2,0.28,0.37,0.47,0.57,0.2,0.28,0.37,0.47,0.57,"Byberry","-74.9852447497518","40.1202492715743",c(-74.9852447497518, 40.1202492715743)
"47","15067 SUNFLOWER DR",0.02,0.03,0.04,0.06,0.09,0.17,0.24,0.33,0.43,0.53,0.17,0.24,0.33,0.43,0.53,"Byberry","-74.988066687665","40.1189417899804",c(-74.988066687665, 40.1189417899804)
"48","15121 WILDFLOWER WAY",0.02,0.03,0.04,0.06,0.1,0.2,0.28,0.37,0.47,0.57,0.2,0.28,0.37,0.47,0.57,"Byberry","-74.9855739842798","40.1200225468775",c(-74.9855739842798, 40.1200225468775)
