"","address","spread1_vacant","spread2_vacant","spread3_vacant","spread4_vacant","spread5_vacant","spread1_permit","spread2_permit","spread3_permit","spread4_permit","spread5_permit","spread1_transfer","spread2_transfer","spread3_transfer","spread4_transfer","spread5_transfer","neighborhood","lat","lon","geometry"
"11","119 W PENN ST",0.04,0.06,0.09,0.13,0.19,0.1,0.14,0.2,0.28,0.37,0.1,0.14,0.2,0.28,0.37,"Germantown - Penn Knox","-75.1717659000457","40.030309944113",c(-75.1717659000457, 40.030309944113)
"12","125 HANSBERRY ST",0.06,0.09,0.13,0.2,0.28,0.07,0.11,0.15,0.22,0.3,0.07,0.11,0.15,0.22,0.3,"Germantown - Penn Knox","-75.1694314278028","40.0290551032007",c(-75.1694314278028, 40.0290551032007)
"13","127 HANSBERRY ST",0.06,0.09,0.13,0.19,0.28,0.07,0.11,0.15,0.22,0.3,0.07,0.11,0.15,0.22,0.3,"Germantown - Penn Knox","-75.1694645692004","40.0290224815998",c(-75.1694645692004, 40.0290224815998)
"14","18 W PENN ST",0.04,0.06,0.09,0.14,0.21,0.15,0.21,0.28,0.38,0.48,0.15,0.21,0.28,0.38,0.48,"Germantown - Penn Knox","-75.1696227364551","40.0319606185231",c(-75.1696227364551, 40.0319606185231)
"15","5349 WAYNE AVE",0.06,0.09,0.13,0.19,0.27,0.07,0.11,0.15,0.22,0.3,0.07,0.11,0.15,0.22,0.3,"Germantown - Penn Knox","-75.1742275605686","40.0293435700977",c(-75.1742275605686, 40.0293435700977)
"16","5249 KNOX ST",0.06,0.09,0.13,0.19,0.27,0.07,0.11,0.15,0.22,0.29,0.07,0.11,0.15,0.22,0.29,"Germantown - Penn Knox","-75.1707783370426","40.0292560679487",c(-75.1707783370426, 40.0292560679487)
"17","121 HANSBERRY ST",0.06,0.09,0.13,0.2,0.28,0.07,0.11,0.15,0.22,0.3,0.07,0.11,0.15,0.22,0.3,"Germantown - Penn Knox","-75.1693629870329","40.0291211817779",c(-75.1693629870329, 40.0291211817779)
"18","18 W QUEEN LN",0.06,0.09,0.13,0.2,0.28,0.08,0.11,0.16,0.23,0.31,0.08,0.11,0.16,0.23,0.31,"Germantown - Penn Knox","-75.1687489637247","40.031429033941",c(-75.1687489637247, 40.031429033941)
"19","165 HANSBERRY ST",0.04,0.06,0.09,0.14,0.2,0.09,0.14,0.19,0.27,0.36,0.09,0.14,0.19,0.27,0.36,"Germantown - Penn Knox","-75.170504742597","40.0282058223995",c(-75.170504742597, 40.0282058223995)
"20","5430 GREENE ST",0.06,0.1,0.14,0.21,0.29,0.07,0.1,0.14,0.2,0.28,0.07,0.1,0.14,0.2,0.28,"Germantown - Penn Knox","-75.1734470788418","40.0319848668211",c(-75.1734470788418, 40.0319848668211)
"21","5241 KNOX ST",0.04,0.06,0.09,0.14,0.2,0.09,0.13,0.19,0.26,0.35,0.09,0.13,0.19,0.26,0.35,"Germantown - Penn Knox","-75.1706107959571","40.029155277874",c(-75.1706107959571, 40.029155277874)
"22","158 W QUEEN LN",0.04,0.06,0.09,0.13,0.19,0.1,0.14,0.2,0.28,0.37,0.1,0.14,0.2,0.28,0.37,"Germantown - Penn Knox","-75.1713609769748","40.0287086474989",c(-75.1713609769748, 40.0287086474989)
"23","5216 MARION ST",0.04,0.06,0.09,0.14,0.2,0.14,0.2,0.28,0.37,0.47,0.14,0.2,0.28,0.37,0.47,"Germantown - Penn Knox","-75.1699315363224","40.0290223945214",c(-75.1699315363224, 40.0290223945214)
"24","175 HANSBERRY ST",0.06,0.09,0.13,0.19,0.28,0.08,0.11,0.16,0.22,0.3,0.08,0.11,0.16,0.22,0.3,"Germantown - Penn Knox","-75.1707640601766","40.0279818606724",c(-75.1707640601766, 40.0279818606724)
"25","5229 KNOX ST",0.04,0.06,0.09,0.14,0.2,0.09,0.13,0.19,0.26,0.35,0.09,0.13,0.19,0.26,0.35,"Germantown - Penn Knox","-75.1703566304085","40.0290030366136",c(-75.1703566304085, 40.0290030366136)
"26","115 HANSBERRY ST",0.04,0.06,0.09,0.14,0.2,0.13,0.18,0.25,0.34,0.44,0.13,0.18,0.25,0.34,0.44,"Germantown - Penn Knox","-75.1692586543106","40.029222209548",c(-75.1692586543106, 40.029222209548)
"27","5237 KNOX ST",0.06,0.09,0.13,0.19,0.28,0.07,0.11,0.15,0.22,0.29,0.07,0.11,0.15,0.22,0.29,"Germantown - Penn Knox","-75.1705264328819","40.0291052438026",c(-75.1705264328819, 40.0291052438026)
"28","3 LINDEN PL",0.04,0.06,0.09,0.13,0.19,0.15,0.22,0.3,0.39,0.49,0.15,0.22,0.3,0.39,0.49,"Germantown - Penn Knox","-75.1701192319705","40.0311702565256",c(-75.1701192319705, 40.0311702565256)
"29","5335 WAYNE AVE",0.06,0.09,0.13,0.19,0.28,0.07,0.11,0.15,0.22,0.3,0.07,0.11,0.15,0.22,0.3,"Germantown - Penn Knox","-75.1736822764381","40.0290249719008",c(-75.1736822764381, 40.0290249719008)
"30","141 W SCHOOL HOUSE LN",0.04,0.07,0.1,0.15,0.22,0.12,0.18,0.25,0.33,0.43,0.12,0.18,0.25,0.33,0.43,"Germantown - Penn Knox","-75.1757228603294","40.0319331238493",c(-75.1757228603294, 40.0319331238493)
"31","158 W COULTER ST",0.04,0.06,0.09,0.13,0.19,0.1,0.14,0.2,0.27,0.36,0.1,0.14,0.2,0.27,0.36,"Germantown - Penn Knox","-75.1737137767457","40.0296523181627",c(-75.1737137767457, 40.0296523181627)
"32","151 W PENN ST",0.06,0.09,0.13,0.19,0.27,0.08,0.12,0.18,0.25,0.33,0.08,0.12,0.18,0.25,0.33,"Germantown - Penn Knox","-75.1732291770943","40.0294976431501",c(-75.1732291770943, 40.0294976431501)
"33","5212 MARION ST",0.04,0.06,0.09,0.14,0.2,0.14,0.2,0.28,0.37,0.47,0.14,0.2,0.28,0.37,0.47,"Germantown - Penn Knox","-75.1698478960404","40.028971523817",c(-75.1698478960404, 40.028971523817)
"34","5245 KNOX ST",0.04,0.06,0.09,0.14,0.2,0.13,0.18,0.25,0.34,0.44,0.13,0.18,0.25,0.34,0.44,"Germantown - Penn Knox","-75.1706927437059","40.0292059243835",c(-75.1706927437059, 40.0292059243835)
"35","150 W COULTER ST",0.04,0.06,0.09,0.13,0.19,0.11,0.15,0.22,0.3,0.39,0.11,0.15,0.22,0.3,0.39,"Germantown - Penn Knox","-75.1734788808922","40.0299136577684",c(-75.1734788808922, 40.0299136577684)
