"","address","spread1_vacant","spread2_vacant","spread3_vacant","spread4_vacant","spread5_vacant","spread1_permit","spread2_permit","spread3_permit","spread4_permit","spread5_permit","spread1_transfer","spread2_transfer","spread3_transfer","spread4_transfer","spread5_transfer","neighborhood","lat","lon","geometry"
"35","3355 FAIRDALE RD",0.04,0.06,0.08,0.13,0.19,0.14,0.19,0.27,0.36,0.46,0.14,0.19,0.27,0.36,0.46,"Parkwood Manor","-74.9785109760454","40.0955651931197",c(-74.9785109760454, 40.0955651931197)
"36","3114 MORNING GLORY RD",0.08,0.12,0.17,0.25,0.34,0.19,0.26,0.35,0.45,0.56,0.19,0.26,0.35,0.45,0.56,"Parkwood Manor","-74.9819081219809","40.1009444376007",c(-74.9819081219809, 40.1009444376007)
"37","3137 BIRCH RD",0.03,0.05,0.08,0.12,0.18,0.19,0.26,0.35,0.45,0.56,0.19,0.26,0.35,0.45,0.56,"Parkwood Manor","-74.9837750925827","40.0986138640168",c(-74.9837750925827, 40.0986138640168)
"38","3780 BANDON DR",0.02,0.04,0.06,0.09,0.13,0.17,0.24,0.32,0.42,0.52,0.17,0.24,0.32,0.42,0.52,"Parkwood Manor","-74.9672303314078","40.0917720609888",c(-74.9672303314078, 40.0917720609888)
"39","3711 GENESEE DR",0.03,0.04,0.06,0.1,0.15,0.17,0.23,0.32,0.41,0.52,0.17,0.23,0.32,0.41,0.52,"Parkwood Manor","-74.9698309887172","40.0925589933124",c(-74.9698309887172, 40.0925589933124)
"40","12133 ASTER RD",0.03,0.04,0.06,0.1,0.14,0.18,0.24,0.33,0.43,0.53,0.18,0.24,0.33,0.43,0.53,"Parkwood Manor","-74.9816449047298","40.0975658445385",c(-74.9816449047298, 40.0975658445385)
"41","12509 CHILTON RD",0.03,0.05,0.07,0.11,0.17,0.19,0.26,0.35,0.45,0.55,0.19,0.26,0.35,0.45,0.55,"Parkwood Manor","-74.9745758665221","40.1020612015008",c(-74.9745758665221, 40.1020612015008)
"42","3204 ANCONA RD",0.01,0.02,0.04,0.06,0.09,0.22,0.31,0.4,0.5,0.61,0.22,0.31,0.4,0.5,0.61,"Parkwood Manor","-74.9761447231021","40.0988210075735",c(-74.9761447231021, 40.0988210075735)
"43","12400 DUNKS FERRY RD",0.03,0.04,0.07,0.1,0.16,0.14,0.2,0.27,0.36,0.46,0.14,0.2,0.27,0.36,0.46,"Parkwood Manor","-74.9760840859417","40.1006023562201",c(-74.9760840859417, 40.1006023562201)
"44","3501 TETON RD",0.02,0.03,0.04,0.07,0.1,0.19,0.27,0.36,0.46,0.56,0.19,0.27,0.36,0.46,0.56,"Parkwood Manor","-74.9625396861451","40.1007520666479",c(-74.9625396861451, 40.1007520666479)
"45","12760 HOLLINS RD",0.02,0.03,0.05,0.07,0.11,0.19,0.26,0.35,0.45,0.55,0.19,0.26,0.35,0.45,0.55,"Parkwood Manor","-74.9634962490091","40.1005569112442",c(-74.9634962490091, 40.1005569112442)
"46","12429 SWEET BRIAR RD",0.03,0.05,0.07,0.11,0.17,0.14,0.2,0.27,0.36,0.46,0.14,0.2,0.27,0.36,0.46,"Parkwood Manor","-74.9798797613921","40.1029442284072",c(-74.9798797613921, 40.1029442284072)
"47","3744 GENESEE DR",0.02,0.04,0.06,0.09,0.14,0.16,0.23,0.31,0.4,0.51,0.16,0.23,0.31,0.4,0.51,"Parkwood Manor","-74.9685582436868","40.0918992912961",c(-74.9685582436868, 40.0918992912961)
"48","12211 ASTER RD",0.04,0.06,0.09,0.13,0.19,0.19,0.26,0.35,0.45,0.56,0.19,0.26,0.35,0.45,0.56,"Parkwood Manor","-74.9810942426504","40.0994300156794",c(-74.9810942426504, 40.0994300156794)
"49","12514 CHILTON RD",0.03,0.04,0.07,0.1,0.15,0.19,0.26,0.35,0.45,0.55,0.19,0.26,0.35,0.45,0.55,"Parkwood Manor","-74.9750642472676","40.1027502412462",c(-74.9750642472676, 40.1027502412462)
"50","3742 VADER DR",0.02,0.04,0.06,0.09,0.13,0.17,0.24,0.32,0.42,0.52,0.17,0.24,0.32,0.42,0.52,"Parkwood Manor","-74.9687083669968","40.0931347838262",c(-74.9687083669968, 40.0931347838262)
"51","3025 DERRY PL",0.04,0.05,0.08,0.13,0.19,0.14,0.2,0.28,0.37,0.47,0.14,0.2,0.28,0.37,0.47,"Parkwood Manor","-74.9867861983942","40.0940843148337",c(-74.9867861983942, 40.0940843148337)
"52","12700 MINDEN RD",0.02,0.03,0.04,0.06,0.1,0.18,0.25,0.33,0.43,0.53,0.18,0.25,0.33,0.43,0.53,"Parkwood Manor","-74.9698030541772","40.1019340534751",c(-74.9698030541772, 40.1019340534751)
"53","11730 BRANDON PL",0.02,0.03,0.05,0.08,0.12,0.24,0.32,0.42,0.52,0.62,0.24,0.32,0.42,0.52,0.62,"Parkwood Manor","-74.9863400414853","40.0937713455863",c(-74.9863400414853, 40.0937713455863)
"54","12815 ELNORA RD",0.01,0.02,0.03,0.04,0.06,0.17,0.24,0.32,0.42,0.52,0.17,0.24,0.32,0.42,0.52,"Parkwood Manor","-74.9671822513983","40.0985676028298",c(-74.9671822513983, 40.0985676028298)
"55","12710 CABELL RD",0.01,0.02,0.03,0.05,0.08,0.17,0.24,0.32,0.42,0.53,0.17,0.24,0.32,0.42,0.53,"Parkwood Manor","-74.9697354677907","40.0992635085767",c(-74.9697354677907, 40.0992635085767)
"56","3645 FRIAR RD",0.01,0.02,0.03,0.04,0.06,0.16,0.23,0.31,0.4,0.51,0.16,0.23,0.31,0.4,0.51,"Parkwood Manor","-74.9662085681685","40.0950403907244",c(-74.9662085681685, 40.0950403907244)
"57","3017 FAIRDALE RD",0.02,0.04,0.06,0.09,0.13,0.17,0.24,0.33,0.43,0.53,0.17,0.24,0.33,0.43,0.53,"Parkwood Manor","-74.9832896924677","40.100890412521",c(-74.9832896924677, 40.100890412521)
"58","11712 ACADEMY RD",0.02,0.03,0.04,0.07,0.1,0.17,0.24,0.33,0.42,0.53,0.17,0.24,0.33,0.42,0.53,"Parkwood Manor","-74.9840783751282","40.0906152266092",c(-74.9840783751282, 40.0906152266092)
"59","12229 SWEET BRIAR RD",0.02,0.04,0.06,0.09,0.13,0.23,0.32,0.41,0.52,0.62,0.23,0.32,0.41,0.52,0.62,"Parkwood Manor","-74.9826804936452","40.1003920663312",c(-74.9826804936452, 40.1003920663312)
"60","3630 BANDON DR",0.01,0.02,0.03,0.05,0.07,0.21,0.28,0.37,0.48,0.58,0.21,0.28,0.37,0.48,0.58,"Parkwood Manor","-74.9662216537953","40.0942651874107",c(-74.9662216537953, 40.0942651874107)
"61","12438 SWEET BRIAR PL",0.03,0.05,0.08,0.12,0.17,0.14,0.2,0.27,0.36,0.46,0.14,0.2,0.27,0.36,0.46,"Parkwood Manor","-74.9804048100941","40.1029829111204",c(-74.9804048100941, 40.1029829111204)
