"","address","spread1_vacant","spread2_vacant","spread3_vacant","spread4_vacant","spread5_vacant","spread1_permit","spread2_permit","spread3_permit","spread4_permit","spread5_permit","spread1_transfer","spread2_transfer","spread3_transfer","spread4_transfer","spread5_transfer","neighborhood","lat","lon","geometry"
"37","6334 REEDLAND ST",0.05,0.07,0.11,0.16,0.24,0.1,0.15,0.21,0.28,0.37,0.1,0.15,0.21,0.28,0.37,"Elmwood","-75.228883504853","39.923815220381",c(-75.228883504853, 39.923815220381)
"38","2921 S 62ND ST",0.03,0.05,0.07,0.11,0.17,0.13,0.18,0.25,0.33,0.43,0.13,0.18,0.25,0.33,0.43,"Elmwood","-75.2218260370296","39.9220653449911",c(-75.2218260370296, 39.9220653449911)
"39","6511 THEODORE ST",0.03,0.05,0.08,0.12,0.18,0.11,0.15,0.21,0.29,0.39,0.11,0.15,0.21,0.29,0.39,"Elmwood","-75.2298810922063","39.9213159885405",c(-75.2298810922063, 39.9213159885405)
"40","2525 SHIELDS ST",0.05,0.08,0.11,0.17,0.24,0.08,0.12,0.17,0.24,0.33,0.08,0.12,0.17,0.24,0.33,"Elmwood","-75.2314777476551","39.9204899387858",c(-75.2314777476551, 39.9204899387858)
"41","6852 GUYER AVE",0.03,0.05,0.07,0.11,0.16,0.11,0.16,0.22,0.3,0.4,0.11,0.16,0.22,0.3,0.4,"Elmwood","-75.2322338007708","39.9156145003792",c(-75.2322338007708, 39.9156145003792)
"42","2523 MASSEY ST",0.04,0.06,0.1,0.15,0.21,0.08,0.12,0.17,0.24,0.33,0.08,0.12,0.17,0.24,0.33,"Elmwood","-75.2347946810719","39.9182350465973",c(-75.2347946810719, 39.9182350465973)
"43","2558 SHIELDS ST",0.05,0.08,0.12,0.17,0.25,0.08,0.12,0.17,0.24,0.33,0.08,0.12,0.17,0.24,0.33,"Elmwood","-75.2312064804968","39.9197456032907",c(-75.2312064804968, 39.9197456032907)
"44","2516 S 68TH ST",0.04,0.07,0.1,0.15,0.22,0.08,0.12,0.18,0.24,0.33,0.08,0.12,0.18,0.24,0.33,"Elmwood","-75.234173316724","39.918842124101",c(-75.234173316724, 39.918842124101)
"45","2618 HOBSON ST",0.05,0.07,0.11,0.16,0.24,0.08,0.12,0.17,0.24,0.33,0.08,0.12,0.17,0.24,0.33,"Elmwood","-75.2321578322159","39.9180215232919",c(-75.2321578322159, 39.9180215232919)
"46","2610 HOBSON ST",0.05,0.07,0.11,0.17,0.24,0.08,0.12,0.17,0.24,0.33,0.08,0.12,0.17,0.24,0.33,"Elmwood","-75.2323097609229","39.9181506737388",c(-75.2323097609229, 39.9181506737388)
"47","2508 S 67TH ST",0.05,0.08,0.11,0.17,0.24,0.08,0.12,0.18,0.24,0.33,0.08,0.12,0.18,0.24,0.33,"Elmwood","-75.2328000163651","39.9200392531782",c(-75.2328000163651, 39.9200392531782)
"48","2611 HOBSON ST",0.05,0.08,0.12,0.17,0.25,0.08,0.12,0.17,0.24,0.33,0.08,0.12,0.17,0.24,0.33,"Elmwood","-75.2320194355927","39.9183567912284",c(-75.2320194355927, 39.9183567912284)
"49","2512 HOLBROOK ST",0.05,0.08,0.12,0.17,0.25,0.12,0.17,0.23,0.32,0.41,0.12,0.17,0.23,0.32,0.41,"Elmwood","-75.2378047568783","39.9164527100365",c(-75.2378047568783, 39.9164527100365)
"50","2638 MASSEY ST",0.04,0.07,0.1,0.15,0.22,0.08,0.12,0.18,0.24,0.33,0.08,0.12,0.18,0.24,0.33,"Elmwood","-75.2333829727279","39.9165678517272",c(-75.2333829727279, 39.9165678517272)
"51","2658 S 66TH ST",0.05,0.07,0.11,0.17,0.24,0.15,0.21,0.29,0.38,0.48,0.15,0.21,0.29,0.38,0.48,"Elmwood","-75.2291109474693","39.9189059947139",c(-75.2291109474693, 39.9189059947139)
"52","6513 THEODORE ST",0.05,0.08,0.12,0.17,0.25,0.08,0.12,0.17,0.24,0.33,0.08,0.12,0.17,0.24,0.33,"Elmwood","-75.2299229706026","39.921286314686",c(-75.2299229706026, 39.921286314686)
"53","2653 MASSEY ST",0.04,0.07,0.1,0.16,0.23,0.08,0.12,0.18,0.24,0.33,0.08,0.12,0.18,0.24,0.33,"Elmwood","-75.2328086111957","39.9165596907752",c(-75.2328086111957, 39.9165596907752)
"54","6325 THEODORE ST",0.03,0.04,0.07,0.1,0.15,0.12,0.18,0.25,0.33,0.43,0.12,0.18,0.25,0.33,0.43,"Elmwood","-75.2274392732417","39.9229713066227",c(-75.2274392732417, 39.9229713066227)
"55","6142 GLENMORE AVE",0.04,0.07,0.1,0.15,0.22,0.1,0.14,0.2,0.28,0.37,0.1,0.14,0.2,0.28,0.37,"Elmwood","-75.2274830983714","39.9268174371309",c(-75.2274830983714, 39.9268174371309)
"56","6902 BUIST AVE",0.04,0.07,0.1,0.16,0.23,0.08,0.12,0.18,0.25,0.33,0.08,0.12,0.18,0.25,0.33,"Elmwood","-75.2346271598797","39.9167385754349",c(-75.2346271598797, 39.9167385754349)
"57","2548 HOLBROOK ST",0.03,0.05,0.08,0.12,0.18,0.14,0.2,0.27,0.36,0.46,0.14,0.2,0.27,0.36,0.46,"Elmwood","-75.2372095449056","39.9159269493178",c(-75.2372095449056, 39.9159269493178)
"58","2821 S SIMPSON ST",0.04,0.07,0.1,0.15,0.22,0.1,0.15,0.21,0.29,0.39,0.1,0.15,0.21,0.29,0.39,"Elmwood","-75.2246365367348","39.9190166663597",c(-75.2246365367348, 39.9190166663597)
"59","2532 S 64TH ST",0.05,0.07,0.11,0.16,0.24,0.1,0.15,0.21,0.28,0.38,0.1,0.15,0.21,0.28,0.38,"Elmwood","-75.2284933472843","39.9222899769285",c(-75.2284933472843, 39.9222899769285)
"60","2804 S SIMPSON ST",0.03,0.05,0.07,0.11,0.16,0.18,0.26,0.34,0.44,0.55,0.18,0.26,0.34,0.44,0.55,"Elmwood","-75.22527662787","39.9188217560055",c(-75.22527662787, 39.9188217560055)
