"","address","spread1_vacant","spread2_vacant","spread3_vacant","spread4_vacant","spread5_vacant","spread1_permit","spread2_permit","spread3_permit","spread4_permit","spread5_permit","spread1_transfer","spread2_transfer","spread3_transfer","spread4_transfer","spread5_transfer","neighborhood","lat","lon","geometry"
"16","910 WINTER ST",0.02,0.04,0.06,0.09,0.13,0.32,0.42,0.52,0.62,0.72,0.32,0.42,0.52,0.62,0.72,"Chinatown","-75.1545759472668","39.9563804404535",c(-75.1545759472668, 39.9563804404535)
"17","1006 RACE ST",0.02,0.03,0.05,0.08,0.12,0.33,0.42,0.53,0.63,0.72,0.33,0.42,0.53,0.63,0.72,"Chinatown","-75.1562505727338","39.9552488159599",c(-75.1562505727338, 39.9552488159599)
"18","202 N CLIFTON ST",0.02,0.03,0.05,0.08,0.11,0.25,0.34,0.44,0.54,0.64,0.25,0.34,0.44,0.54,0.64,"Chinatown","-75.1569570238831","39.9562866491437",c(-75.1569570238831, 39.9562866491437)
"19","918 SPRING ST",0.02,0.03,0.05,0.07,0.11,0.31,0.4,0.51,0.61,0.7,0.31,0.4,0.51,0.61,0.7,"Chinatown","-75.1548936028636","39.9558363309632",c(-75.1548936028636, 39.9558363309632)
"20","919 SPRING ST",0.02,0.04,0.05,0.08,0.13,0.27,0.36,0.46,0.56,0.66,0.27,0.36,0.46,0.56,0.66,"Chinatown","-75.1548485301825","39.9560469219534",c(-75.1548485301825, 39.9560469219534)
"21","1009 SPRING ST",0.02,0.04,0.06,0.09,0.14,0.21,0.29,0.38,0.48,0.58,0.21,0.29,0.38,0.48,0.58,"Chinatown","-75.1561041870209","39.9562013237277",c(-75.1561041870209, 39.9562013237277)
"22","229 N 10TH ST",0.02,0.04,0.06,0.09,0.13,0.25,0.33,0.43,0.53,0.64,0.25,0.33,0.43,0.53,0.64,"Chinatown","-75.1555040625406","39.9562539878383",c(-75.1555040625406, 39.9562539878383)
"23","916 WINTER ST",0.02,0.04,0.06,0.09,0.13,0.2,0.27,0.36,0.46,0.57,0.2,0.27,0.36,0.46,0.57,"Chinatown","-75.1547709878827","39.9563702923719",c(-75.1547709878827, 39.9563702923719)
"24","131 N 11TH ST",0.02,0.04,0.05,0.08,0.13,0.33,0.43,0.53,0.64,0.73,0.33,0.43,0.53,0.64,0.73,"Chinatown","-75.1573588006915","39.954879630209",c(-75.1573588006915, 39.954879630209)
"25","916 SPRING ST",0.01,0.02,0.03,0.05,0.07,0.36,0.47,0.57,0.67,0.75,0.36,0.47,0.57,0.67,0.75,"Chinatown","-75.1549195313251","39.9557025016935",c(-75.1549195313251, 39.9557025016935)
"26","1013 CHERRY ST",0.02,0.03,0.05,0.08,0.12,0.36,0.46,0.56,0.66,0.75,0.36,0.46,0.56,0.66,0.75,"Chinatown","-75.1565985737204","39.9547414812497",c(-75.1565985737204, 39.9547414812497)
"27","1017 ARCH ST",0.02,0.03,0.05,0.07,0.11,0.19,0.27,0.36,0.46,0.56,0.19,0.27,0.36,0.46,0.56,"Chinatown","-75.1570421895743","39.9539825025789",c(-75.1570421895743, 39.9539825025789)
"28","132 N 10TH ST",0,0,0,0.01,0.01,0.27,0.36,0.46,0.56,0.66,0.27,0.36,0.46,0.56,0.66,"Chinatown","-75.1563579896969","39.9546088400132",c(-75.1563579896969, 39.9546088400132)
"29","206 N 9TH ST",0.02,0.04,0.05,0.08,0.13,0.32,0.42,0.52,0.62,0.72,0.32,0.42,0.52,0.62,0.72,"Chinatown","-75.1544784141921","39.9554527269436",c(-75.1544784141921, 39.9554527269436)
"30","1014 WINTER ST",0.02,0.02,0.04,0.06,0.09,0.43,0.54,0.64,0.73,0.8,0.43,0.54,0.64,0.73,0.8,"Chinatown","-75.1562277276868","39.9565587776692",c(-75.1562277276868, 39.9565587776692)
"31","1003-15 RACE ST",0.01,0.01,0.02,0.03,0.04,0.34,0.44,0.54,0.64,0.73,0.34,0.44,0.54,0.64,0.73,"Chinatown","-75.1562268501441","39.9557378885459",c(-75.1562268501441, 39.9557378885459)
